zil-additional-service  | 
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:31.934Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=48848
zil-additional-service  | 2026-05-06T17:19:31.962Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=1000
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:32.124Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:32.125Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:32.125Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:32.125Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:32.125Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:37.126Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:37.127Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:37.127Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:41.934Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=48848
zil-additional-service  | 2026-05-06T17:19:41.962Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=1000
zil-additional-service  | 2026-05-06T17:19:42.127Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
